Measurement file name;pun213703(lying down).scco
Measurement name;Measurement;;;Measurement;;;Measurement;;;Measurement;;
Date;3/1/2022;;;3/1/2022;;;3/1/2022;;;3/1/2022;;
Time;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;;1:23:56 PM;;
Channel name;S/N 1947158622;;;S/N 1947158622;;;S/N 1948131903;;;S/N 1948131903;;
Unit;bar;;;°C;;;L/min;;;°C;;
Channel index;Channel A1;;;Channel A2;;;Channel A3;;;Channel A4;;
Time [s] / Points;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value;MIN value;MAX value;ACT value
00:00:00;110.130;129.490;119.650;28.441;28.441;28.441;22.343;23.310;22.343;30.999;30.999;30.999
00:00:00.010;119.770;122.890;118.250;28.441;28.441;28.441;22.343;22.343;22.343;30.999;30.999;30.999
00:00:00.020;116.250;124.970;126.490;28.441;28.441;28.441;22.343;22.343;22.343;30.999;30.999;30.999
00:00:00.030;125.090;131.890;121.210;28.441;28.441;28.441;22.343;22.343;22.343;30.999;30.999;30.999
00:00:00.040;111.570;118.570;120.450;28.441;28.441;28.441;22.343;22.343;22.343;30.999;30.999;30.999
00:00:00.050;121.210;124.170;119.650;28.441;28.441;28.441;22.343;23.153;23.153;30.999;30.999;30.999
00:00:00.060;116.450;123.170;124.490;28.441;28.441;28.441;23.153;23.153;23.153;30.999;30.999;30.999
00:00:00.070;122.490;129.130;118.770;28.441;28.441;28.441;23.153;23.153;23.153;30.999;30.999;30.999
00:00:00.080;113.770;121.010;122.170;28.441;28.441;28.441;23.153;23.153;23.153;30.999;30.999;30.999
00:00:00.090;120.250;123.490;118.970;28.441;28.441;28.441;23.153;23.153;23.153;30.999;30.999;30.999
00:00:00.100;117.170;123.170;124.890;28.441;28.441;28.441;23.153;24.173;24.173;30.999;30.999;30.999
00:00:00.110;117.850;129.210;117.850;28.441;28.441;28.441;24.173;24.173;24.173;30.999;30.999;30.999
00:00:00.120;109.730;121.410;123.290;28.441;28.441;28.441;24.173;24.173;24.173;30.999;30.999;30.999
00:00:00.130;121.410;126.290;119.970;28.441;28.441;28.441;24.173;24.173;24.173;30.999;30.999;30.999
00:00:00.140;117.770;124.090;125.690;28.441;28.441;28.441;24.173;24.173;24.173;30.999;30.999;30.999
00:00:00.150;119.570;129.690;114.970;28.441;28.441;28.441;22.991;24.173;22.991;30.999;30.999;30.999
00:00:00.160;110.970;119.250;120.810;28.441;28.441;28.441;22.991;22.991;22.991;30.999;30.999;30.999
